Название,Средний балл,Количество мест,Количество образовательных программ,Город
ХГИК,57.1,134,17,Хабаровск
ПВГУС,49.3,152,46,Самара
ВЛГАФК,48.7,148,11,Псков
ЧГИФКИС,35.0,204,5,Якутия
ХГУЭП ,56.9,120,21,Хабаровск
ПГФА,46.5,146,3,Пермь
Университет «Дубна»,58.4,112,27,Москва
ЧГИКИ,58.5,104,19,Чувашия
МГИМО Одинцово,90.5,63,9,Москва
РГАИС,81.9,62,4,Москва
ХМГМА,49.3,100,1,Хмао
ЕАСИ,61.1,68,5,Екатеринбург
Алфёровский университет,77.7,52,2,Санкт-Петербрг
КАГМС,53.6,66,4,Курск
ВГУЮ,86.4,34,5,Москва
СПбГИПСР,73.3,25,5,Санкт-Петербрг
МГУ им. Ломоносова,?,4125,83,Москва
ЧГИФК,?,231,6,Пермь
РЭШ,?,50,1,Москва
ДВГИИ,?,53,11,Владивосток
МГУ им. Ломоносова в Севастополе,?,96,9,Севастополь
БАГСУ,?,24,6,Башкортостан
КРАГСиУ,?,0,7,Коми
РГК им. С.В. Рахманинова,?,101,24,Ростов-на-дону
МГК им. П.И. Чайковского,?,208,9,Москва
ЕГТИ,?,48,4,Екатеринбург
СГК им. Л. В. Собинова,?,123,9,Саратов
УрГАХУ,?,175,18,Екатеринбург
УГК им. Мусоргского,?,87,10,Екатеринбург
КГК им. Н. Г. Жиганова,?,107,15,Татарстан
Поволжский ГУФКСиТ,?,1167,44,Татарстан
МаГК им. М.И. Глинки,?,92,23,Челябинск
МАРХИ,?,175,2,Москва
ВГИК,?,230,16,Москва
ЯГТИ,?,21,3,Ярославль
ГИТИС,?,189,15,Москва
АСОУ,?,0,9,Москва
ДВГАФК,?,160,4,Хабаровск
ТГМПИ им. С.В. Рахманинова,?,48,5,Тамбов
РГУФКСМИТ,?,768,50,Москва
МГУУ Правительства Москвы им. Ю.М. Лужкова,?,0,8,Москва
ПГК им. А.К. Глазунова,?,77,20,Карелия
СОГПИ,?,0,4,Северная Осетия
НГУАДИ,?,103,11,Новосибирск
СибГУФК,?,375,6,Омск
ЛИ им. А.М. Горького,?,132,2,Москва
СГИИ,0.0,0,0,Смоленск
ВГИФК,?,229,25,Воронеж
ГМПИ им. М.М. Ипполитова-Иванова,50.0,50,10,Москва
УралГУФК,?,382,16,Челябинск
НГУ им. П. Ф. Лесгафта,?,785,9,Санкт-Петербрг
УП РФ,50.0,50,1,Москва
